Scotland,Woman,OnBreakOrWorking,CurrentBreakLength,CurrentBreakReason,CurrentBreakObstacles,CurrentBreakWhenReturn,WorkingArrangements,WorkingChanges,WorkingBreakLength,WorkingBreakReason,WorkingBreakObstacles,MultipleCareerBreaksNumber,MultipleCareerBreaksTotaLenth,MultipleCareerBreaksReasons,MultipleCareerBreaksDiffImpact,AllWorkMeaning,AllBreakActivity,SupportAffordableChildcare,SupportFlexWorkEmployers,SupportThroughEmployer,AllCharacteristics,AllChildrenInHousehold,AllChildrenWithASN,AllAge,AllEducation,AllYearsWorkexperience,AllEthnicity,AllPostcode
Yes,Yes,working,,,,,"I am working full-time, without flexibility regarding where and/or when to work",I am earning more;My stress levels have increased ;,6 months to 2 years,Travelling;Burn-out;Workplace bullying;,Career switch (unsure what);Career switch (can’t afford);Not knowing where to start;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independance;Independance from other people's decisions;Making change for future generations;,(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,N/A,very helpful,very helpful,"ADHD, autism or other neurodivergence ;LGBTQIA+;",No child,,22 to 29 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",Up to 5 years,White Scottish,eh4
Yes,Yes,onbreak,more than 5 years,Maternity leave;Childcare;,Lack of care provision;Timing not right;Lack of support (family/network);Lack of jobs (local area);Lack of jobs (salary/experience);Lack of flexible jobs;Lack of confidence in skills/experience;Lack in confidence;Not knowing where to start;Discrimination (career gap);,Within six months,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Filfilment;Contributing to society;Making change for future generations;,Studying - full-time or part-time;Stay-at-home parent;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;,very helpful,very helpful,no need for this,Motherhood;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,2 children,Prefer not to say,40 to 49 years,Master's dregree or equivalent,5-10 years,Any other White ethnic group,EH10
Yes,Yes,onbreak,2 to 5 years,Maternity leave;Childcare;Other Caring Responsibilities;,Lack of affordable care;Lack of support (family/network);Lack of flexible jobs;Lack of market insight;Lack in confidence;Not knowing where to start;My son has ASD therefore it’s difficult to get childcare during school holidays.;,When my asd son can cope with after school club/childcare outwith his routine.,,,,,,"Yes, two separate breaks of at least 6 months each",3 to 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independance;Contributing to my savings/retirement;Being a positive role model;",Studying - full-time or part-time;Stay-at-home parent;Unpaid carer for my son with Autism;,very helpful,very helpful,nice to have,Motherhood;Caring for a child with additional support needs (of any age);,2 children,Yes,30 to 39 years,"Post-secondary/high school education, incl. college, practically based and occupational specific training and education",10-15 years,White Scottish,Eh106xd
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;My stress levels have increased ;,6 months to 2 years,Maternity Leave;Childcare;Workplace bullying;,Lack of affordable care;Lack of flexible jobs;Lack of jobs (with progression);,"No, only one break of 6 months or more",,,,"Financial independance;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Earning money to provide for myself/my family;Contributing to my savings/retirement;Following my ambition;",Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;,1 child,No,30 to 39 years,Secondary/high school education ,15-20 years,Any other White ethnic group,EH21 8RR
Yes,Yes,onbreak,2 to 5 years,Childcare;,Lack of affordable care;Lack of flexible jobs;Lack of care provision;Lack in confidence;Career switch (unsure what);Unsuccessful applications;,Within six months,,,,,,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;,Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,30 to 39 years,Bachelor's degree or equivalent,Up to 5 years,White Scottish,Eh39 
Yes,Yes,working,,,,,"I am working part-time, with flexibility around where and/or when to work",I am now working below my former career level;I am now working below my potential/skills;I am now working fewer hours than before/ I would like to/ am able to ;I changed career;I have a better (work)life balance;My stress levels have increased ;I am less confident in my skills/ the work I do;,more than 5 years,Maternity Leave;Childcare;Other Caring Responsibilities;,Timing not right;Lack of care provision;Lack of support (family/network) ;Health issues (unable to work) ;Lack of jobs (local area);Lack of flexible jobs;Lack of jobs (with progression);Lack of market insight;Lack of confidence in skills/experience;Lack in confidence;Discrimination (career gap);,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Financial independance;Filfilment;Following my dreams;Making change for future generations;,Studying - full-time or part-time;(Re)Training;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,nice to have,very helpful,very helpful,"Motherhood;Caring for a child with additional support needs (of any age);Mental health issues;ADHD, autism or other neurodivergence ;Disabled or chronic health condition;",1 child,Yes,30 to 39 years,Doctoral (PhD) or equivalent,5-10 years,Polish,Eh22
Yes,Yes,onbreak,more than 5 years,Other Caring Responsibilities;Health reasons/disability/recovery;,Lack of support (family/network);Lack of care provision;Health issue (lack of support);Lack of flexible jobs;Career switch (unsure what);,Within six months,,,,,,"Yes, three or more separate breaks of at least 6 months each",more than 5 years,Same or related reasons,Yes – later break(s) had a more significant and mostly negative impact,Earning money to provide for myself/my family;Making change for future generations;Contributing to society;Being a positive role model;Filfilment;,Stay-at-home parent;,very helpful,very helpful,very helpful,"Motherhood;Caring for a child with additional support needs (of any age);Lone parent;Perimenopausal or Menopausal;Mental health issues;ADHD, autism or other neurodivergence ;Disabled or chronic health condition;Experience of trauma;",2 children,Yes,40 to 49 years,Secondary/high school education ,10-15 years,White Scottish,Eh6 5at 
Yes,Yes,working,,,,,"I am self-employed, working less than 30h/week",I am now self-employed ;I am earning less;I have a better (work)life balance;I am now working fewer hours than before/ I would like to/ am able to ;I am more confident in my skills/the work I do;,2 to 5 years,Childcare;Maternity Leave;Relocation;,Lack of support (family/network) ;,"No, only one break of 6 months or more",,,,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independance;Independance from other people's decisions;Following my ambition;Status;",Studying - full-time or part-time;Stay-at-home parent;,very helpful,nice to have,nice to have,Motherhood;Unfamiliarity with Scottish labour market (new to Scotland/returning to Scotland);,2 children,No,30 to 39 years,Master's dregree or equivalent,10-15 years,White Other British,EH4
Yes,Yes,onbreak,6 months to 2 years,Workplace bullying;Study;,"No obstacles, not seeking to return;Lack in confidence;Career switch (unsure what);",Immediately,,,,,,"No, only one break of 6 months or more",,,,"Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Financial independance;Following my dreams;Contributing to society;Being a positive role model;",Studying - full-time or part-time;,no need for this,nice to have,very helpful,"ADHD, autism or other neurodivergence ;",No child,,30 to 39 years,Bachelor's degree or equivalent,10-15 years,White Scottish,FK2 
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;,6 months to 2 years,Childcare;Maternity Leave;,Timing not right;Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Lack of jobs (local area);Lack of flexible jobs;,"No, only one break of 6 months or more",,,,Earning money to provide for myself/my family;Contributing to my savings/retirement;Following my dreams;Following my ambition;Being a positive role model;,Studying - full-time or part-time;Stay-at-home parent;,very helpful,very helpful,nice to have,Motherhood;,2 children,No,22 to 29 years,Secondary/high school education ,10-15 years,White Scottish,Eh33
Yes,Yes,working,,,,,"I am working part-time, without flexibility regarding where and/or when I work",I am now working fewer hours than before/ I would like to/ am able to ;I am earning less;My stress levels have increased ;I am less confident in my skills/ the work I do;I feel I am viewed more negatively. ;,6 months to 2 years,Other Caring Responsibilities;Health reasons/disability/recovery;Burn-out;,Lack of care provision;Lack of affordable care;Lack of support (family/network) ;Health issue (lack of support);Lack of flexible jobs;,"Yes, two separate breaks of at least 6 months each",more than 5 years,Different or unrelated reasons,The different breaks had different impacts which are not related,"Earning money to provide for myself/my family;Earning money for myself to afford extras beyond the living (e.g. hobbies, expensive holidays, luxuries)  ;Contributing to society;Filfilment;Independance from other people's decisions;",(Re)Training;(Sporadic) Mini jobs for less than 10 hours per week or below £500 per month;Stay-at-home parent;,very helpful,very helpful,very helpful,Motherhood;Caring for a child with additional support needs (of any age);Lone parent;Mental health issues;Woman affected by domestic abuse;Experience of trauma;LGBTQIA+;,1 child,Yes,40 to 49 years,Master's dregree or equivalent,Over 20 years,White Other British,Eh6
